logFC	logCPM	PValue	FDR
Solyc00g005000	0	-1.66887626930952	1	1
Solyc00g005020	-1.87000802791951	-1.55254221346525	1	1
Solyc00g005040	-0.130232449652411	0.631382400195561	0.811472899901114	1
Solyc00g005050	-0.150153294604369	5.7945634799658	0.436732454705405	0.881153146325506
Solyc00g005060	0	-1.66887626930952	1	1
Solyc00g005070	0	-1.66887626930952	1	1
Solyc00g005080	-0.903911901976707	-0.210285044756998	0.291247337294602	0.642657661852183
Solyc00g005090	0	-1.66887626930952	1	1
Solyc00g005100	0	-1.66887626930952	1	1
Solyc00g005110	-1.8666036824578	-1.5528125803482	1	1
Solyc00g005120	-3.42044728248495	-1.26025366027515	0.203241579008083	0.487395229211636
Solyc00g005130	-4.51639268591434	-0.926643705320771	0.0216337624032646	0.0744722112389146
Solyc00g005140	-4.90283625366168	-0.73128432981157	0.00231185488527245	0.0104034967734685
Solyc00g005150	-0.760142749750395	0.975474562809099	0.201079369338048	0.483478727342131
Solyc00g005160	0	-1.66887626930952	1	1
Solyc00g005170	0	-1.66887626930952	1	1
Solyc00g005180	0	-1.66887626930952	1	1
Solyc00g005280	0	-1.66887626930952	1	1
Solyc00g005420	0	-1.66887626930952	1	1
Solyc00g005430	0	-1.66887626930952	1	1
Solyc00g005440	1.1566589485568	-0.608857007880448	0.309278283119427	0.67502980887497
Solyc00g005450	0	-1.66887626930952	1	1
Solyc00g005460	0	-1.66887626930952	1	1
Solyc00g005470	0	-1.66887626930952	1	1
Solyc00g005480	0	-1.66887626930952	1	1
Solyc00g005490	0	-1.66887626930952	1	1
Solyc00g005840	1.65862460675798	2.49798246540252	0.000181301963507465	0.00105479532362602
Solyc00g005850	0	-1.66887626930952	1	1
Solyc00g005860	0.0697111824559169	-1.2577266345603	1	1
Solyc00g005870	0.522914471763054	-1.16579388224546	1	1
Solyc00g005880	0	-1.66887626930952	1	1
Solyc00g005890	0	-1.66887626930952	1	1
Solyc00g005900	0	-1.66887626930952	1	1
Solyc00g005980	0	-1.66887626930952	1	1
Solyc00g006010	0	-1.66887626930952	1	1
Solyc00g006020	0	-1.66887626930952	1	1
Solyc00g006050	0	-1.66887626930952	1	1
Solyc00g006090	0	-1.66887626930952	1	1
Solyc00g006170	0	-1.66887626930952	1	1
Solyc00g006250	0	-1.66887626930952	1	1
Solyc00g006470	0	-1.66887626930952	1	1
Solyc00g006480	1.88591511917523	-1.55374345716817	0.999999999999997	1
Solyc00g006490	0.129677680519906	5.94973376155004	0.49546946208801	0.970181449671853
Solyc00g006500	0	-1.66887626930952	1	1
Solyc00g006510	0	-1.66887626930952	1	1
Solyc00g006520	0	-1.66887626930952	1	1
Solyc00g006530	0	-1.66887626930952	1	1
Solyc00g006540	0	-1.66887626930952	1	1
Solyc00g006550	0	-1.66887626930952	1	1
Solyc00g006560	1.88585915921712	-1.55374345716817	0.999999999999999	1
Solyc00g006570	0	-1.66887626930952	1	1
Solyc00g006590	0	-1.66887626930952	1	1
Solyc00g006600	0.194992872214165	-0.394458869761272	1	1
Solyc00g006630	0	-1.66887626930952	1	1
Solyc00g006650	0	-1.66887626930952	1	1
Solyc00g006660	0	-1.66887626930952	1	1
Solyc00g006670	0	-1.66887626930952	1	1
Solyc00g006680	0	-1.66887626930952	1	1
Solyc00g006690	0	-1.66887626930952	1	1
Solyc00g006700	0	-1.66887626930952	1	1
Solyc00g006800	0.148773691258885	7.20630273299519	0.420256356521524	0.855214913151068
Solyc00g006810	-0.966981369685055	3.92587843799177	0.000634933218637361	0.00328113270342434
Solyc00g006820	-0.335589180796714	0.378473919791437	0.730896757341964	1
Solyc00g006830	0.162103848101433	4.87030303194683	0.423298996247658	0.859794364080974
