gene,control_1,control_2,control_3,cold_1,cold_2,cold_3
Solyc00g005000,0,0,0,0,0,0
Solyc00g005020,0,0,1,0,0,0
Solyc00g005040,8,9,8,9,8,5
Solyc00g005050,295,501,343,306,352,322
Solyc00g005060,0,0,0,0,0,0
Solyc00g005070,0,0,0,0,0,0
Solyc00g005080,2,6,6,2,0,5
Solyc00g005090,0,0,0,0,0,0
Solyc00g005100,0,0,0,0,0,0
Solyc00g005110,1,0,0,0,0,0
Solyc00g005120,0,4,0,0,0,0
Solyc00g005130,5,0,3,0,0,0
Solyc00g005140,2,4,5,0,0,0
Solyc00g005150,23,12,5,6,11,6
Solyc00g005160,0,0,0,0,0,0
Solyc00g005170,0,0,0,0,0,0
Solyc00g005180,0,0,0,0,0,0
Solyc00g005280,0,0,0,0,0,0
Solyc00g005420,0,0,0,0,0,0
Solyc00g005430,0,0,0,0,0,0
Solyc00g005440,1,2,1,4,3,2
Solyc00g005450,0,0,0,0,0,0
Solyc00g005460,0,0,0,0,0,0
Solyc00g005470,0,0,0,0,0,0
Solyc00g005480,0,0,0,0,0,0
Solyc00g005490,0,0,0,0,0,0
Solyc00g005840,16,21,13,51,79,23
Solyc00g005850,0,0,0,0,0,0
Solyc00g005860,0,2,0,0,2,0
Solyc00g005870,2,0,0,0,2,1
Solyc00g005880,0,0,0,0,0,0
Solyc00g005890,0,0,0,0,0,0
Solyc00g005900,0,0,0,0,0,0
Solyc00g005980,0,0,0,0,0,0
Solyc00g006010,0,0,0,0,0,0
Solyc00g006020,0,0,0,0,0,0
Solyc00g006050,0,0,0,0,0,0
Solyc00g006090,0,0,0,0,0,0
Solyc00g006170,0,0,0,0,0,0
Solyc00g006250,0,0,0,0,0,0
Solyc00g006470,0,0,0,0,0,0
Solyc00g006480,0,0,0,0,1,0
Solyc00g006490,337,437,364,362,375,465
Solyc00g006500,0,0,0,0,0,0
Solyc00g006510,0,0,0,0,0,0
Solyc00g006520,0,0,0,0,0,0
Solyc00g006530,0,0,0,0,0,0
Solyc00g006540,0,0,0,0,0,0
Solyc00g006550,0,0,0,0,0,0
Solyc00g006560,0,0,0,0,1,0
Solyc00g006570,0,0,0,0,0,0
Solyc00g006590,0,0,0,0,0,0
Solyc00g006600,3,2,3,1,3,5
Solyc00g006630,0,0,0,0,0,0
Solyc00g006650,0,0,0,0,0,0
Solyc00g006660,0,0,0,0,0,0
Solyc00g006670,0,0,0,0,0,0
Solyc00g006680,0,0,0,0,0,0
Solyc00g006690,0,0,0,0,0,0
Solyc00g006700,0,0,0,0,0,0
Solyc00g006800,823,1225,703,942,1090,869
Solyc00g006810,99,166,120,60,87,42
Solyc00g006820,2,15,5,7,7,2
Solyc00g006830,169,205,156,164,191,218
Solyc00g006840,0,0,0,0,0,0
Solyc00g006850,0,0,0,0,0,0
Solyc00g006860,0,0,0,0,0,0
Solyc00g006870,0,0,0,0,0,0
Solyc00g006880,0,0,0,0,0,0
Solyc00g006890,0,0,0,0,0,0
Solyc00g006900,20,20,15,11,22,14
Solyc00g007000,0,0,0,0,0,0
Solyc00g007010,57,83,38,73,75,91
Solyc00g007020,0,0,0,0,0,0
Solyc00g007030,8,5,8,1,8,1
Solyc00g007040,2,2,0,0,0,1
Solyc00g007050,0,0,0,0,0,0
Solyc00g007060,42,56,47,44,52,61
Solyc00g007070,511,570,499,361,464,455
Solyc00g007080,1,0,1,4,0,1
Solyc00g007090,27,61,40,52,69,69
Solyc00g007100,141,147,112,213,202,279
Solyc00g007110,30,32,21,47,50,40
Solyc00g007120,27,66,32,43,71,56
Solyc00g007130,4,3,2,7,5,4
Solyc00g007140,0,0,0,0,0,0
Solyc00g007150,15,4,11,6,4,15
Solyc00g007160,0,0,0,0,0,0
Solyc00g007170,0,1,0,0,0,0
Solyc00g007180,0,0,0,0,0,0
Solyc00g007190,0,4,2,10,6,12
Solyc00g007200,0,1,2,0,0,1
Solyc00g007210,0,0,0,0,0,0
Solyc00g007220,122,197,156,255,373,322
Solyc00g007230,0,0,0,0,0,1
Solyc00g007240,0,0,0,0,0,0
Solyc00g007250,0,0,0,0,0,0
Solyc00g007260,46,49,55,74,122,94
Solyc00g007270,861,1194,908,1783,1795,1651
Solyc00g007290,0,0,0,0,0,0
Solyc00g007300,617,529,685,242,102,265
Solyc00g007310,0,1,0,0,0,0
Solyc00g007320,0,0,0,0,0,0
Solyc00g007330,0,0,0,0,0,0
Solyc00g007340,0,0,0,0,0,0
Solyc00g007350,0,0,0,0,0,0
Solyc00g007450,0,0,0,0,0,0
Solyc00g007550,0,0,1,0,0,1
Solyc00g007560,1,2,0,0,1,0
Solyc00g007570,0,0,0,1,0,0
Solyc00g007580,0,0,0,0,0,0
Solyc00g007590,0,0,0,0,0,0
Solyc00g007600,0,0,2,0,0,0
Solyc00g007610,0,0,0,0,0,0
Solyc00g007910,0,0,0,0,0,0
Solyc00g007920,0,0,0,0,0,0
Solyc00g007930,0,0,0,0,0,0
Solyc00g007940,0,0,0,0,0,0
Solyc00g007950,0,0,0,0,0,0
Solyc00g007960,0,0,0,0,0,0
Solyc00g007970,0,0,0,0,0,0
Solyc00g007980,0,0,0,0,0,0
Solyc00g007990,0,0,0,0,0,0
Solyc00g008000,0,0,0,0,0,0
Solyc00g008010,0,0,0,0,0,0
Solyc00g008020,0,0,0,0,0,0
Solyc00g008030,0,0,0,0,0,0
Solyc00g008040,0,0,0,0,0,0
Solyc00g008050,0,0,0,0,0,0
Solyc00g008060,0,0,0,0,0,0
Solyc00g008070,0,0,0,0,0,0
Solyc00g008080,0,0,0,0,0,0
Solyc00g008090,0,0,0,0,0,0
Solyc00g008100,0,0,0,0,0,0
Solyc00g008110,0,0,0,0,0,0
Solyc00g008120,0,0,0,0,0,0
Solyc00g008130,0,0,0,0,0,0
Solyc00g008140,0,0,0,0,0,0
Solyc00g008150,0,0,0,0,0,0
Solyc00g008160,0,0,0,0,0,0
Solyc00g008260,0,0,0,0,0,0
Solyc00g008270,0,0,0,0,0,0
Solyc00g008570,0,1,0,0,0,0
Solyc00g008580,0,0,0,0,0,0
Solyc00g008680,671,894,758,995,1092,957
Solyc00g008690,0,0,0,0,0,0
Solyc00g008800,0,0,0,0,0,0
Solyc00g008900,0,0,0,0,0,0
Solyc00g008910,0,0,0,0,0,0
Solyc00g008920,0,0,0,0,0,0
Solyc00g009020,1292,1728,1211,1868,2179,1834
Solyc00g009030,0,1,0,1,0,1
Solyc00g009040,5,21,25,4,24,11
Solyc00g009050,0,2,4,0,1,1
Solyc00g009060,235,333,211,153,182,150
Solyc00g009070,0,0,0,0,0,0
Solyc00g009080,99,101,87,81,79,91
Solyc00g009090,0,1,2,0,0,0
Solyc00g009100,85,111,101,318,440,258
Solyc00g009110,96,178,74,102,102,138
Solyc00g009120,54,63,32,35,40,43
Solyc00g009130,57,53,35,28,45,35
Solyc00g009140,211,283,207,132,151,123
Solyc00g009240,0,0,0,0,0,0
Solyc00g009440,0,0,0,0,0,0
Solyc00g009540,0,0,0,0,0,0
Solyc00g009650,0,0,0,0,0,0
Solyc00g009660,0,0,0,0,0,0
Solyc00g009760,0,0,0,0,0,0
Solyc00g009770,0,0,0,0,0,0
Solyc00g009780,0,0,0,0,0,0
Solyc00g009790,0,0,0,0,0,0
Solyc00g009800,0,0,0,0,0,0
Solyc00g010100,0,0,0,0,0,0
