genotype	starch
WT	4.610571125
WT	4.20247371
WT	3.982258491
WT	4.869258581
WT	3.239508113
WT	4.555467113
WT	3.526185028
WT	3.986779993
MutA	16.60730072
MutA	11.34396124
MutA	8.254455995
MutA	5.3195524
MutA	8.937200867
MutB	5.529099514
MutB	3.64140786
MutB	3.518663477
MutB	3.851057388
MutB	4.323984644
MutB	4.69350517
MutB	4.592065483
MutB	4.237447966
MutC	7.372568216
MutC	7.018640033
MutC	6.305020926
MutC	8.854553327
MutC	4.722714824
MutC	5.019344682
MutC	6.617996028
MutC	7.29074075
MutD	10.935452
MutD	7.521908807
MutD	7.944657681
MutD	7.606555444
MutD	6.288087661
MutD	6.676733755
MutD	7.078160068
